feature	score
casos_lag_1	2.0
qntd_resultado_soro	0.7846723376641548
qntd_febre	0.592772528039067
qntd_auctone	0.45402131154490993
casos_ma_3	0.43808970430386684
qntd_vomito	0.360504104954221
qntd_nausea	0.35863819754000364
casos_lag_2	0.3215641511653661
casos_ma_12	0.2696631312621431
casos_ma_6	0.23149018005289693
casos_lag_12	0.15294709081389518
casos_lag_3	0.14918452044395725
casos_max_12m	0.12575368858012806
municipio_avg_precip	0.10210797779686451
precipitacao_total_mensal_lag_2	0.059472494799427365
vento_vlc_media_mensal	0.05139515080599436
precipitacao_total_mensal_lag_1	0.05101601443137978
casos_lag_6	0.050775649218460124
precipitacao_total_mensal_lag_3	0.04656038489827848
day_of_year_sin	0.0415714305175477
vento_vlc_media_mensal_lag_1	0.03905730711519795
month_sin	0.03838508683837062
year	0.03553847005316096
vento_vlc_media_mensal_lag_2	0.032962867781207356
precipitacao_total_mensal	0.031073143696121974
mes_notificacao	0.0
temp_media_mensal_lag_2	0.0
temp_media_mensal_lag_1	0.0
precipitacao_total_mensal_lag_6	0.0
precipitacao_total_mensal_lag_5	0.0
precipitacao_total_mensal_lag_4	0.0
is_rainy_season	0.0
month_cos	0.0
day_of_year_cos	0.0
is_summer	0.0
day_of_year	0.0
is_peak_dengue_season	0.0
temp_media_mensal	0.0
temp_media_mensal_lag_6	0.0
temp_media_mensal_lag_5	0.0
temp_media_mensal_lag_3	0.0
temp_media_mensal_lag_4	0.0
vento_vlc_media_mensal_ma_6	0.0
vento_vlc_media_mensal_ma_3	0.0
temp_media_mensal_ma_6	0.0
temp_media_mensal_ma_3	0.0
precipitacao_total_mensal_ma_6	0.0
precipitacao_total_mensal_ma_3	0.0
vento_vlc_media_mensal_lag_6	0.0
vento_vlc_media_mensal_lag_5	0.0
vento_vlc_media_mensal_lag_4	0.0
vento_vlc_media_mensal_lag_3	0.0
extreme_cold	0.0
temp_precip_interaction	0.0
municipio_avg_temp	0.0
optimal_temperature	0.0
high_temperature	0.0
low_temperature	0.0
